Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,,,,,,,,
0,DigitalMusicAnalysis.exe,"19,575",0,100,0,,,,,,,,,
0,[ntdll.dll],"18,149",0,92.72,0,ntdll.dll,,,,,,,,
1,[ntdll.dll],"18,149",0,92.72,0,ntdll.dll,,,,,,,,
2,[mscoree.dll],"14,274",0,72.92,0,mscoree.dll,,,,,,,,
3,[mscoree.dll],"14,274",0,72.92,0,mscoree.dll,,,,,,,,
4,[mscoreei.dll],"14,259",12,72.84,0.06,mscoreei.dll,,,,,,,,
5,DigitalMusicAnalysis.App.Main,"14,098",0,72.02,0,DigitalMusicAnalysis.exe,,,,,,,,
6,System.Windows.Application.Run,"14,069",0,71.87,0,PresentationFramework.ni.dll,,,,,,,,
7,[user32.dll],"13,972",0,71.38,0,user32.dll,,,,,,,,
8,[user32.dll],"13,944",0,71.23,0,user32.dll,,,,,,,,
9,[user32.dll],"13,919",0,71.11,0,user32.dll,,,,,,,,
10,[user32.dll],"13,908",0,71.05,0,user32.dll,,,,,,,,
11,[user32.dll],"13,908",0,71.05,0,user32.dll,,,,,,,,
12,MS.Win32.HwndSubclass.SubclassWndProc,"13,878",233,70.9,1.19,WindowsBase.ni.dll,,,,,,,,
13,DigitalMusicAnalysis.MainWindow..ctor,"13,110",0,66.97,0,DigitalMusicAnalysis.exe,,,,,,,,
14,DigitalMusicAnalysis.MainWindow.openFile,"8,264",0,42.22,0,DigitalMusicAnalysis.exe,,,,,,,,
15,Microsoft.Win32.CommonDialog.ShowDialog,"8,264",5,42.22,0.03,PresentationFramework.ni.dll,,,,,,,,
16,[comdlg32.dll],"8,237",0,42.08,0,comdlg32.dll,,,,,,,,
17,[user32.dll],"8,170",0,41.74,0,user32.dll,,,,,,,,
18,[user32.dll],"8,170",0,41.74,0,user32.dll,,,,,,,,
19,[user32.dll],"8,169",0,41.73,0,user32.dll,,,,,,,,
20,[user32.dll],"7,035",0,35.94,0,user32.dll,,,,,,,,
21,[user32.dll],"6,759",0,34.53,0,user32.dll,,,,,,,,
22,[user32.dll],"4,966",1,25.37,0.01,user32.dll,,,,,,,,
23,[user32.dll],"4,708",0,24.05,0,user32.dll,,,,,,,,
24,[user32.dll],"4,707",0,24.05,0,user32.dll,,,,,,,,
25,[user32.dll],"4,706",0,24.04,0,user32.dll,,,,,,,,
2,[kernel32.dll],"3,854",0,19.69,0,kernel32.dll,,,,,,,,
26,[user32.dll],"3,390",0,17.32,0,user32.dll,,,,,,,,
27,[user32.dll],"3,390",0,17.32,0,user32.dll,,,,,,,,
28,[user32.dll],"3,390",0,17.32,0,user32.dll,,,,,,,,
29,[user32.dll],"3,390",0,17.32,0,user32.dll,,,,,,,,
30,[comdlg32.dll],"3,005",0,15.35,0,comdlg32.dll,,,,,,,,
31,[comdlg32.dll],"2,990",0,15.27,0,comdlg32.dll,,,,,,,,
14,DigitalMusicAnalysis.MainWindow.onsetDetection,"2,918",146,14.91,0.75,DigitalMusicAnalysis.exe,,,,,,,,
3,[ntdll.dll],"2,917",0,14.9,0,ntdll.dll,,,,,,,,
4,[ntdll.dll],"2,914",0,14.89,0,ntdll.dll,,,,,,,,
32,[comdlg32.dll],"2,790",0,14.25,0,comdlg32.dll,,,,,,,,
5,[SHCore.dll],"2,398",0,12.25,0,SHCore.dll,,,,,,,,
6,[windows.storage.dll],"2,398",0,12.25,0,windows.storage.dll,,,,,,,,
7,[windows.storage.dll],"2,266",0,11.58,0,windows.storage.dll,,,,,,,,
8,[windows.storage.dll],"2,265",0,11.57,0,windows.storage.dll,,,,,,,,
15,DigitalMusicAnalysis.MainWindow.fft,"1,972",96,10.07,0.49,DigitalMusicAnalysis.exe,,,,,,,,
16,DigitalMusicAnalysis.MainWindow.fft,"1,821",70,9.3,0.36,DigitalMusicAnalysis.exe,,,,,,,,
17,DigitalMusicAnalysis.MainWindow.fft,"1,717",59,8.77,0.3,DigitalMusicAnalysis.exe,,,,,,,,
22,[ntdll.dll],"1,673",0,8.55,0,ntdll.dll,,,,,,,,
23,[user32.dll],"1,673",0,8.55,0,user32.dll,,,,,,,,
33,[comdlg32.dll],"1,669",0,8.53,0,comdlg32.dll,,,,,,,,
14,DigitalMusicAnalysis.MainWindow.freqDomain,"1,617",18,8.26,0.09,DigitalMusicAnalysis.exe,,,,,,,,
18,DigitalMusicAnalysis.MainWindow.fft,"1,610",75,8.22,0.38,DigitalMusicAnalysis.exe,,,,,,,,
15,DigitalMusicAnalysis.timefreq..ctor,"1,594",25,8.14,0.13,DigitalMusicAnalysis.exe,,,,,,,,
16,DigitalMusicAnalysis.timefreq.stft,"1,552",145,7.93,0.74,DigitalMusicAnalysis.exe,,,,,,,,
19,DigitalMusicAnalysis.MainWindow.fft,"1,478",83,7.55,0.42,DigitalMusicAnalysis.exe,,,,,,,,
0,[ntdll.dll],"1,407",32,7.19,0.16,ntdll.dll,,,,,,,,
20,DigitalMusicAnalysis.MainWindow.fft,"1,354",90,6.92,0.46,DigitalMusicAnalysis.exe,,,,,,,,
17,DigitalMusicAnalysis.timefreq.ItterativeFFT,"1,342",859,6.86,4.39,DigitalMusicAnalysis.exe,,,,,,,,
34,[shell32.dll],"1,306",0,6.67,0,shell32.dll,,,,,,,,
35,[shell32.dll],"1,306",0,6.67,0,shell32.dll,,,,,,,,
36,[shell32.dll],"1,305",0,6.67,0,shell32.dll,,,,,,,,
37,[shell32.dll],"1,300",0,6.64,0,shell32.dll,,,,,,,,
1,[wow64win.dll],"1,287",0,6.57,0,wow64win.dll,,,,,,,,
2,[wow64.dll],"1,287",0,6.57,0,wow64.dll,,,,,,,,
3,[wow64.dll],"1,287",0,6.57,0,wow64.dll,,,,,,,,
4,[wow64cpu.dll],"1,287",0,6.57,0,wow64cpu.dll,,,,,,,,
9,[ExplorerFrame.dll],"1,284",0,6.56,0,ExplorerFrame.dll,,,,,,,,
24,[user32.dll],"1,271",0,6.49,0,user32.dll,,,,,,,,
25,[user32.dll],"1,271",0,6.49,0,user32.dll,,,,,,,,
26,[user32.dll],"1,271",0,6.49,0,user32.dll,,,,,,,,
27,[user32.dll],"1,271",0,6.49,0,user32.dll,,,,,,,,
21,DigitalMusicAnalysis.MainWindow.fft,"1,212",89,6.19,0.45,DigitalMusicAnalysis.exe,,,,,,,,
38,[shell32.dll],"1,163",0,5.94,0,shell32.dll,,,,,,,,
20,[ntdll.dll],"1,128",0,5.76,0,ntdll.dll,,,,,,,,
21,[user32.dll],"1,128",0,5.76,0,user32.dll,,,,,,,,
10,[ExplorerFrame.dll],"1,093",0,5.58,0,ExplorerFrame.dll,,,,,,,,
22,DigitalMusicAnalysis.MainWindow.fft,"1,076",86,5.5,0.44,DigitalMusicAnalysis.exe,,,,,,,,
26,[comctl32.dll],"1,028",0,5.25,0,comctl32.dll,,,,,DigitalMusicAnalysis.MainWindow.onsetDetection,"2,918",,
39,[shell32.dll],"1,014",0,5.18,0,shell32.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,972",,
27,[comctl32.dll],"1,011",0,5.16,0,comctl32.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,821",,
40,[shell32.dll],972,0,4.97,0,shell32.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,717",,
28,[duser.dll],969,0,4.95,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.freqDomain,"1,617",,
29,[duser.dll],969,0,4.95,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,610",,
23,DigitalMusicAnalysis.MainWindow.fft,962,73,4.91,0.37,DigitalMusicAnalysis.exe,,,,,,,,
30,[duser.dll],961,0,4.91,0,duser.dll,,,,,DigitalMusicAnalysis.timefreq.stft,"1,552",,
31,[duser.dll],960,0,4.9,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,478",,
32,[duser.dll],960,0,4.9,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,354",,
33,[duser.dll],960,0,4.9,0,duser.dll,,,,,DigitalMusicAnalysis.timefreq.ItterativeFFT,"1,342",,
34,[duser.dll],947,0,4.84,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,212",,
35,[duser.dll],946,0,4.83,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,"1,076",,
36,[duser.dll],946,0,4.83,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,962,,
37,[duser.dll],944,0,4.82,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,846,,
38,[duser.dll],944,0,4.82,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,733,,
39,[duser.dll],940,0,4.8,0,duser.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,604,,
40,[dui70.dll],936,0,4.78,0,dui70.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,479,,
41,[dui70.dll],936,0,4.78,0,dui70.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,355,,
42,[ntdll.dll],930,0,4.75,0,ntdll.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,240,,
43,[user32.dll],930,0,4.75,0,user32.dll,,,,,DigitalMusicAnalysis.timefreq.ReverseBits,127,,
44,[user32.dll],930,0,4.75,0,user32.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,116,,
45,[user32.dll],930,0,4.75,0,user32.dll,,,,,DigitalMusicAnalysis.MainWindow.InitializeComponent,86,,
46,[user32.dll],930,0,4.75,0,user32.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,33,,
47,[user32.dll],930,0,4.75,0,user32.dll,,,,,DigitalMusicAnalysis.App..ctor,28,,
48,[comctl32.dll],909,0,4.64,0,comctl32.dll,,,,,DigitalMusicAnalysis.wavefile..ctor,24,,
49,[comctl32.dll],908,0,4.64,0,comctl32.dll,,,,,DigitalMusicAnalysis.MainWindow.fft,6,,
24,DigitalMusicAnalysis.MainWindow.fft,846,92,4.32,0.47,DigitalMusicAnalysis.exe,,,,,,,,
9,[windows.storage.dll],788,0,4.03,0,windows.storage.dll,,,,,DigitalMusicAnalysis.MainWindow..ctor,2,,
41,[shell32.dll],786,0,4.02,0,shell32.dll,,,,,DigitalMusicAnalysis.MainWindow..ctor,2,,
50,[ExplorerFrame.dll],779,0,3.98,0,ExplorerFrame.dll,,,,,DigitalMusicAnalysis.MainWindow..ctor,2,,
51,[ExplorerFrame.dll],779,0,3.98,0,ExplorerFrame.dll,,,,,DigitalMusicAnalysis.MainWindow..ctor,1,,
52,[comctl32.dll],779,0,3.98,0,comctl32.dll,,,,,,,,
53,[comctl32.dll],779,0,3.98,0,comctl32.dll,,,,,,,,
54,[user32.dll],779,0,3.98,0,user32.dll,,,,,,,,
55,[user32.dll],779,0,3.98,0,user32.dll,,,,,,,,
56,[user32.dll],779,0,3.98,0,user32.dll,,,,,,,,
57,[user32.dll],779,0,3.98,0,user32.dll,,,,,,,,
58,[user32.dll],779,0,3.98,0,user32.dll,,,,,,,,
59,[comctl32.dll],779,0,3.98,0,comctl32.dll,,,,,,,,
60,[comctl32.dll],779,0,3.98,0,comctl32.dll,,,,,,,,
61,[comctl32.dll],775,0,3.96,0,comctl32.dll,,,,,,,,
42,[shell32.dll],772,0,3.94,0,shell32.dll,,,,,,,,
33,[ExplorerFrame.dll],757,0,3.87,0,ExplorerFrame.dll,,,,,,,,
34,[ExplorerFrame.dll],754,1,3.85,0.01,ExplorerFrame.dll,,,,,,,,
22,[user32.dll],750,0,3.83,0,user32.dll,,,,,,,,
23,[user32.dll],747,0,3.82,0,user32.dll,,,,,,,,
62,[comctl32.dll],745,0,3.81,0,comctl32.dll,,,,,,,,
63,[comctl32.dll],736,0,3.76,0,comctl32.dll,,,,,,,,
24,[user32.dll],733,0,3.74,0,user32.dll,,,,,,,,
25,[user32.dll],733,0,3.74,0,user32.dll,,,,,,,,
25,DigitalMusicAnalysis.MainWindow.fft,733,90,3.74,0.46,DigitalMusicAnalysis.exe,,,,,,,,
64,[comctl32.dll],731,0,3.73,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.onsetDetection,"2,918",,,,
28,[comctl32.dll],721,0,3.68,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,972",,,,
65,[user32.dll],721,0,3.68,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,821",,,,
66,[user32.dll],720,0,3.68,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,717",,,,
67,[user32.dll],720,0,3.68,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.freqDomain,"1,617",,,,
68,[user32.dll],720,0,3.68,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,610",,,,
69,[user32.dll],720,0,3.68,0,user32.dll,,,DigitalMusicAnalysis.timefreq..ctor,"1,594",,,,
70,[atlthunk.dll],720,0,3.68,0,atlthunk.dll,,,DigitalMusicAnalysis.timefreq.stft,"1,552",,,,
71,[duser.dll],720,0,3.68,0,duser.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,478",,,,
72,[user32.dll],718,0,3.67,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,354",,,,
73,[user32.dll],718,0,3.67,0,user32.dll,,,DigitalMusicAnalysis.timefreq.ItterativeFFT,"1,342",,,,
74,[user32.dll],718,0,3.67,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,212",,,,
75,[user32.dll],718,0,3.67,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,"1,076",,,,
76,[user32.dll],718,0,3.67,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,962,,,,
77,[comctl32.dll],718,0,3.67,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.fft,846,,,,
29,[ExplorerFrame.dll],715,0,3.65,0,ExplorerFrame.dll,,,DigitalMusicAnalysis.MainWindow.fft,733,,,,
30,[ExplorerFrame.dll],715,0,3.65,0,ExplorerFrame.dll,,,DigitalMusicAnalysis.MainWindow.fft,604,,,,
31,[comctl32.dll],715,0,3.65,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.fft,479,,,,
32,[comctl32.dll],712,0,3.64,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.fft,355,,,,
33,[ExplorerFrame.dll],712,0,3.64,0,ExplorerFrame.dll,,,DigitalMusicAnalysis.MainWindow.fft,240,,,,
34,[ExplorerFrame.dll],712,0,3.64,0,ExplorerFrame.dll,,,DigitalMusicAnalysis.timefreq.ReverseBits,127,,,,
35,[comctl32.dll],712,0,3.64,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.fft,116,,,,
78,[comctl32.dll],710,0,3.63,0,comctl32.dll,,,DigitalMusicAnalysis.MainWindow.InitializeComponent,86,,,,
79,[ExplorerFrame.dll],710,0,3.63,0,ExplorerFrame.dll,,,DigitalMusicAnalysis.MainWindow.fft,33,,,,
80,[comctl32.dll],710,0,3.63,0,comctl32.dll,,,DigitalMusicAnalysis.App..ctor,28,,,,
36,[comctl32.dll],708,0,3.62,0,comctl32.dll,,,DigitalMusicAnalysis.wavefile..ctor,24,,,,
37,[user32.dll],708,0,3.62,0,user32.dll,,,DigitalMusicAnalysis.MainWindow.fft,6,,,,
38,[user32.dll],708,0,3.62,0,user32.dll,,,DigitalMusicAnalysis.MainWindow..ctor,2,,,,
39,[user32.dll],708,0,3.62,0,user32.dll,,,DigitalMusicAnalysis.MainWindow..ctor,2,,,,
40,[user32.dll],708,0,3.62,0,user32.dll,,,DigitalMusicAnalysis.MainWindow..ctor,2,,,,
41,[user32.dll],708,0,3.62,0,user32.dll,,,DigitalMusicAnalysis.MainWindow..ctor,2,,,,
42,[duser.dll],708,0,3.62,0,duser.dll,,,DigitalMusicAnalysis.MainWindow..ctor,1,,,,
81,[comctl32.dll],701,0,3.58,0,comctl32.dll,,,,,,,,
82,[user32.dll],701,0,3.58,0,user32.dll,,,,,,,,
83,[user32.dll],701,0,3.58,0,user32.dll,,,,,,,,
84,[user32.dll],701,0,3.58,0,user32.dll,,,,,,,,
85,[user32.dll],701,0,3.58,0,user32.dll,,,,,,,,
86,[user32.dll],701,0,3.58,0,user32.dll,,,,,,,,
87,[ExplorerFrame.dll],701,0,3.58,0,ExplorerFrame.dll,,,,,,,,
88,[ExplorerFrame.dll],701,0,3.58,0,ExplorerFrame.dll,,,,,,,,
89,[ExplorerFrame.dll],701,0,3.58,0,ExplorerFrame.dll,,,,,,,,
90,[ExplorerFrame.dll],700,0,3.58,0,ExplorerFrame.dll,,,,,,,,
35,[ExplorerFrame.dll],661,0,3.38,0,ExplorerFrame.dll,,,,,,,,
5,[wow64.dll],650,0,3.32,0,wow64.dll,,,,,,,,
6,[wow64win.dll],650,0,3.32,0,wow64win.dll,,,,,,,,
7,[wow64win.dll],650,0,3.32,0,wow64win.dll,,,,,,,,
26,[user32.dll],648,0,3.31,0,user32.dll,,,,,,,,
27,[user32.dll],648,0,3.31,0,user32.dll,,,,,,,,
28,[user32.dll],648,0,3.31,0,user32.dll,,,,,,,,
29,[user32.dll],648,0,3.31,0,user32.dll,,,,,,,,
30,[user32.dll],648,0,3.31,0,user32.dll,,,,,,,,
31,[comdlg32.dll],642,0,3.28,0,comdlg32.dll,,,,,,,,
32,[comdlg32.dll],642,0,3.28,0,comdlg32.dll,,,,,,,,
36,[ExplorerFrame.dll],641,0,3.27,0,ExplorerFrame.dll,,,,,,,,
5,[wow64cpu.dll],637,0,3.25,0,wow64cpu.dll,,,,,,,,
6,[ntdll.dll],637,0,3.25,0,ntdll.dll,,,,,,,,
7,[wow64win.dll],637,0,3.25,0,wow64win.dll,,,,,,,,
8,[wow64.dll],637,0,3.25,0,wow64.dll,,,,,,,,
9,[wow64.dll],637,0,3.25,0,wow64.dll,,,,,,,,
10,[wow64cpu.dll],637,0,3.25,0,wow64cpu.dll,,,,,,,,
43,[user32.dll],620,0,3.17,0,user32.dll,,,,,,,,
44,[user32.dll],620,0,3.17,0,user32.dll,,,,,,,,
45,[user32.dll],620,0,3.17,0,user32.dll,,,,,,,,
46,[user32.dll],620,0,3.17,0,user32.dll,,,,,,,,
47,[user32.dll],620,0,3.17,0,user32.dll,,,,,,,,
48,[dui70.dll],620,0,3.17,0,dui70.dll,,,,,,,,
49,[ExplorerFrame.dll],620,0,3.17,0,ExplorerFrame.dll,,,,,,,,
37,[ExplorerFrame.dll],618,0,3.16,0,ExplorerFrame.dll,,,,,,,,
26,DigitalMusicAnalysis.MainWindow.fft,604,96,3.09,0.49,DigitalMusicAnalysis.exe,,,,,,,,
8,[ntdll.dll],568,0,2.9,0,ntdll.dll,,,,,,,,
9,[wow64win.dll],568,0,2.9,0,wow64win.dll,,,,,,,,
10,[wow64.dll],568,0,2.9,0,wow64.dll,,,,,,,,
11,[wow64.dll],568,0,2.9,0,wow64.dll,,,,,,,,
12,[wow64cpu.dll],568,0,2.9,0,wow64cpu.dll,,,,,,,,
11,[wow64cpu.dll],560,0,2.86,0,wow64cpu.dll,,,,,,,,
12,[ntdll.dll],560,0,2.86,0,ntdll.dll,,,,,,,,
13,[wow64win.dll],560,0,2.86,0,wow64win.dll,,,,,,,,
14,[wow64.dll],560,0,2.86,0,wow64.dll,,,,,,,,
15,[wow64.dll],560,0,2.86,0,wow64.dll,,,,,,,,
16,[wow64cpu.dll],560,1,2.86,0.01,wow64cpu.dll,,,,,,,,
13,[wow64.dll],558,0,2.85,0,wow64.dll,,,,,,,,
14,[wow64win.dll],558,0,2.85,0,wow64win.dll,,,,,,,,
15,[wow64win.dll],558,0,2.85,0,wow64win.dll,,,,,,,,
16,[ntdll.dll],549,0,2.8,0,ntdll.dll,,,,,,,,
17,[wow64win.dll],549,0,2.8,0,wow64win.dll,,,,,,,,
18,[wow64.dll],549,0,2.8,0,wow64.dll,,,,,,,,
19,[wow64.dll],549,0,2.8,0,wow64.dll,,,,,,,,
20,[wow64cpu.dll],549,0,2.8,0,wow64cpu.dll,,,,,,,,
10,[windows.storage.dll],509,0,2.6,0,windows.storage.dll,,,,,,,,
38,[SHCore.dll],485,0,2.48,0,SHCore.dll,,,,,,,,
39,[ExplorerFrame.dll],485,0,2.48,0,ExplorerFrame.dll,,,,,,,,
27,DigitalMusicAnalysis.MainWindow.fft,479,93,2.45,0.48,DigitalMusicAnalysis.exe,,,,,,,,
40,[ExplorerFrame.dll],461,0,2.36,0,ExplorerFrame.dll,,,,,,,,
15,System.Numerics.Complex.Pow,450,450,2.3,2.3,System.Numerics.ni.dll,,,,,,,,
